year	rank	package	downloads
2023	1	htslib	1098547
2023	2	samtools	1095069
2023	3	pysam	579603
2023	4	bedtools	452789
2023	5	bioconductor-s4vectors	422013
2023	6	bioconductor-iranges	418827
2023	7	bioconductor-biocgenerics	418496
2023	8	bioconductor-genomeinfodb	412707
2023	9	bioconductor-biobase	407216
2023	10	bioconductor-zlibbioc	406914
2023	11	bioconductor-xvector	406213
2023	12	blast	405037
2023	13	bioconductor-genomicranges	398157
2023	14	bioconductor-biocparallel	393686
2023	15	bioconductor-genomeinfodbdata	389081
2023	16	bioconductor-biostrings	387393
2023	17	bioconductor-delayedarray	382327
2023	18	bioconductor-summarizedexperiment	380697
2023	19	bwa	363439
2023	20	bioconductor-matrixgenerics	360756
2024	1	samtools	777198
2024	2	htslib	735729
2024	3	pysam	477632
2024	4	bedtools	383051
2024	5	snakemake-minimal	340145
2024	6	snakemake	335021
2024	7	bioconductor-iranges	267336
2024	8	bioconductor-biocgenerics	264081
2024	9	bioconductor-s4vectors	260087
2024	10	bwa	254135
2024	11	minimap2	253554
2024	12	bioconductor-biobase	253118
2024	13	bioconductor-zlibbioc	250407
2024	14	bioconductor-xvector	249529
2024	15	bioconductor-genomeinfodb	244771
2024	16	bioconductor-genomicranges	242609
2024	17	blast	242496
2024	18	bioconductor-biocparallel	235203
2024	19	bioconductor-genomeinfodbdata	231840
2024	20	bioconductor-delayedarray	225805
2025	1	pysam	3997220
2025	2	samtools	1952993
2025	3	harpy	1851746
2025	4	last	1835760
2025	5	meme	1772021
2025	6	picard	1601510
2025	7	htslib	1542172
2025	8	bowtie2	1337256
2025	9	bbmap	1253796
2025	10	peptide-shaker	1182388
2025	11	diamond	1056864
2025	12	blast	959334
2025	13	star	898956
2025	14	bedtools	847503
2025	15	bcftools	838254
2025	16	deeptools	786983
2025	17	hmmer	626594
2025	18	hyphy	614512
2025	19	dxpy	608112
2025	20	searchgui	578544
