year	package	downloads
2023	samtools	1095069
2023	bcftools	348378
2023	bedtools	452789
2023	fastp	137991
2023	fastqc	173083
2023	multiqc	128098
2023	trim-galore	40535
2023	cutadapt	247705
2023	bwa	363439
2023	star	90798
2023	bowtie2	277311
2023	kallisto	31634
2023	salmon	67305
2023	sra-tools	120465
2023	snakemake	325645
2023	picard	265140
2024	samtools	777198
2024	bcftools	224513
2024	bedtools	383051
2024	fastp	106229
2024	fastqc	220368
2024	multiqc	118153
2024	trim-galore	96185
2024	cutadapt	220487
2024	bwa	254135
2024	star	94374
2024	bowtie2	162326
2024	kallisto	32853
2024	salmon	78672
2024	sra-tools	85712
2024	snakemake	335021
2024	picard	217631
2025	samtools	1952993
2025	bcftools	838254
2025	bedtools	847503
2025	fastp	135818
2025	fastqc	286876
2025	multiqc	156828
2025	trim-galore	84420
2025	cutadapt	186784
2025	bwa	576128
2025	star	898956
2025	bowtie2	1337256
2025	kallisto	30068
2025	salmon	130146
2025	sra-tools	105279
2025	snakemake	309375
2025	picard	1601510
