citing_doi	year	title	venue	authors
10.1002/0471250953.bi1005s19	2007	Using Galaxy to Perform Large‐Scale Interactive Data Analyses	Current Protocols in Bioinformatics	James Taylor, Ian Schenck, Daniel Blankenberg, ANTON Y NEKRUTENKO
10.1038/nsmb.1932	2010	Analysis of replication profiles reveals key role of RFC-Ctf18 in yeast replication stress response	Nature Structural & Molecular Biology	Laure Crabbé, Aubin Thomas, Véronique Pantesco, John De Vos, Philippe Pasero, Armelle Lengronne
10.1186/gb-2010-11-8-r86	2010	Galaxy: a comprehensive approach for supporting accessible, reproducible, and transparent computational research in the life sciences	Genome biology	Jeremy Goecks, ANTON Y NEKRUTENKO, James Taylor, The Galaxy Team
10.1093/bioinformatics/btq649	2010	MTR: taxonomic annotation of short metagenomic reads using clustering at multiple taxonomic ranks	Bioinformatics	Fabio Gori, Gianluigi Folino, Mike S. M. Jetten, Elena Marchiori
10.1093/bioinformatics/btq281	2010	Manipulation of FASTQ data with Galaxy	Bioinformatics	Daniel Blankenberg, Assaf Gordon, Gregory Von Kuster, Nathan Coraor, James Taylor, ANTON Y NEKRUTENKO, the Galaxy Team
10.1186/1471-2105-11-455	2010	Next generation tools for genomic data generation, distribution, and visualization	DOAJ (DOAJ: Directory of Open Access Journals)	David A. Nix, Tonya L Di Sera, Brian K. Dalley, Brett A. Milash, Robert M Cundick, Kevin S Quinn, Samir Courdy
10.1093/bib/bbq026	2010	OpenHelix: bioinformatics education outside of a different box	Briefings in Bioinformatics	J. M. Williams, Mary E. Mangan, Cynthia L. Perreault-Micale, Scott M. Lathe, Nikhil Sirohi, Warren C. Lathe
10.1002/0471250953.bi1106s32	2010	RNA‐Seq Read Alignments with PALMapper	Current Protocols in Bioinformatics	Géraldine Jean, André Kahles, Vipin T. Sreedharan, Fabio De Bona, Gunnar Rätsch
10.1093/nar/gkq937	2010	The Pancreatic Expression database: 2011 update	Nucleic Acids Research	Rosalind J. Cutts, Emanuela Gadaleta, Stephan A. Hahn, Tatjana Crnogorac‐Jurcevic, Nicholas Robert Lemoine, Claude Chelala
10.1093/nar/gkq448	2010	rQuant.web: a tool for RNA-Seq-based transcript quantitation	Nucleic Acids Research	Regina Bohnert, Gunnar Rätsch
10.1016/j.ygeno.2011.08.004	2011	4040 SNPs for genomic analysis in the rhesus macaque (Macaca mulatta)	Genomics	Jessica Satkoski Trask, Wendy T. Garnica, Sree Kanthaswamy, Ripan Singh Malhi, David Glenn Smith
10.1016/j.ajhg.2011.04.011	2011	A Mutation in the Golgi Qb-SNARE Gene GOSR2 Causes Progressive Myoclonus Epilepsy with Early Ataxia	The American Journal of Human Genetics	Mark A Corbett, Michael Schwake, Melanie Bahlo, Leanne M. Dibbens, Meng Lin, Luke C. Gandolfo, Danya F. Vears, John D. O’Sullivan, Thomas E. Robertson, Marta A. Bayly, Alison E. Gardner, Annemarie M. M. Vlaar, Georg Christoph Korenke, Bastiaan R. Bloem, I.F.M. de Coo, Judith M. A. Verhagen, Anna‐Eli
