citing_doi	year	title	venue	authors
10.1371/journal.pcbi.1000121	2008	Advanced Genomic Data Mining	PLoS Computational Biology	Xosé M. Fernández, Ewan Birney
10.1016/j.ygeno.2008.10.009	2008	Genomics made easier: An introductory tutorial to genome datamining	Genomics	Peter L Schattner
10.1186/1471-2164-10-8	2009	Asymmetrical distribution of non-conserved regulatory sequences at PHOX2B is reflected at the ENCODE loci and illuminates a possible genome-wide trend	BMC Genomics	David M. McGaughey, Zachary E. Stine, Jimmy Long Huynh, Ryan M. Vinton, Andrew S. McCallion
10.1152/physiolgenomics.90376.2008	2009	Foxa2-dependent hepatic gene regulatory networks depend on physiological state	Physiological Genomics	Irina M. Bochkis, Jonathan Schug, Nir E. Rubins, Atul R. Chopra, Bert W. O’Malley, Klaus H. Kaestner
10.1002/9780470744307.gat232	2009	Next‐Generation Sequencing: A Revolutionary Tool for Toxicogenomics	General, Applied and Systems Toxicology	Zhenqiang Su, Baitang Ning, Hong Fang, Huixiao Hong, Roger Perkins, Weida Tong, Leming M. Shi
10.53846/goediss-3189	2010	Altered Histone 4 K12 Acetylation is Associated with Age Dependent Memory Impairment in Mice		Shahaf Peleg
10.1093/nar/gkq095	2010	Chromosomal position effects on AAV-mediated gene targeting	Nucleic Acids Research	Anda M. Cornea, David W. Russell
10.1186/1471-2164-11-641	2010	Combining target enrichment with barcode multiplexing for high throughput SNP discovery	BMC Genomics	Nik Cummings, Rob M. King, Andre Rickers, Antony Kaspi, Sebastian Lunke, Izhak Haviv, Jeremy BM Jowett
10.1186/1471-2105-11-462	2010	Context dependent substitution biases vary within the human genome	BMC Bioinformatics	Patrick Andrew Nevarez, Christopher DeBoever, Benjamin J Freeland, M. Quitt, Eliot C. Bush
10.1016/j.talanta.2010.10.029	2010	Data processing pipelines for comprehensive profiling of proteomics samples by label-free LC–MS for biomarker discovery	Talanta	Christin Christin, Rainer Bischoff, Peter L. Horvatovich
10.1007/s00239-010-9336-0	2010	Does Drive Toward Canonic Exonic Splicing Sites Exist in Mammals?	Journal of Molecular Evolution	Vladimir N. Babenko, William O. Ward, Anatoly O. Ruvinsky
10.1093/molehr/gaq053	2010	Embryonic stem cell-related miRNAs are involved in differentiation of pluripotent cells originating from the germ line	Molecular Human Reproduction	Athanasios Zovoilis, Angeliki Pantazi, Lukasz Smorag, Lennart Opitz, Gabriela Salinas Riester, Marieke Wolf, Ulrich Zechner, Anna Hołubowska, Colin L. Stewart, Wolfgang Engel
10.1016/j.yhbeh.2010.10.007	2010	Epigenetic methodologies for behavioral scientists	Hormones and Behavior	Danielle S. Stolzenberg, Patrick A. Grant, Stefan Bekiranov
10.1007/978-1-60327-367-1_20	2010	Gaining a Pathway Insight into Genetic Association Data	Methods in molecular biology	Inti Pedroso
10.1186/1471-2105-11-s12-s4	2010	Galaxy CloudMan: delivering cloud compute clusters	BMC Bioinformatics	Enis Afgan, Dannon Baker, Nate Coraor, Brad Chapman, ANTON Y NEKRUTENKO, James Taylor
10.1002/0471142727.mb1910s89	2010	Galaxy: A Web‐Based Genome Analysis Tool for Experimentalists	Current Protocols in Molecular Biology	Daniel Blankenberg, Gregory Von Kuster, Nathaniel Coraor, Guruprasad Ananda, Ross M Lazarus, Mary E. Mangan, ANTON Y NEKRUTENKO, James Taylor
10.1186/gb-2010-11-8-r86	2010	Galaxy: a comprehensive approach for supporting accessible, reproducible, and transparent computational research in the life sciences	Genome biology	Jeremy Goecks, ANTON Y NEKRUTENKO, James Taylor, The Galaxy Team
10.1007/978-1-4419-7686-4_10	2010	Genomic and Transcriptomic Analyses of Foodborne Bacterial Pathogens		Wei Zhang, Edward G. Dudley, Joseph T. Wade
10.1093/bioinformatics/btq281	2010	Manipulation of FASTQ data with Galaxy	Bioinformatics	Daniel Blankenberg, Assaf Gordon, Gregory Von Kuster, Nathan Coraor, James Taylor, ANTON Y NEKRUTENKO, the Galaxy Team
10.2174/187153010790827948	2010	Metabolic Syndrome Components in Murine Models	Endocrine Metabolic & Immune Disorders - Drug Targets	Heather A. Lawson, James M. Cheverud
10.1016/j.cell.2010.05.020	2010	Natural Mutagenesis of Human Genomes by Endogenous Retrotransposons	Cell	Rebecca C. Iskow, Michael T. McCabe, Ryan E. Mills, Spencer Torene, W. Stephen Pittard, Andrew F. Neuwald, Erwin G. Van Meir, Paula M. Vertino, Scott E. Devine
10.1038/nrg2795	2010	Next-generation genomics: an integrative approach	Nature Reviews Genetics	R. David Hawkins, Gary C. Hon, Bing Ren
10.1371/journal.pgen.1001134	2010	Orphan CpG Islands Identify Numerous Conserved Promoters in the Mammalian Genome	PLoS Genetics	Robert Scott Illingworth, Ulrike Gruenewald-Schneider, Shaun Webb, Alastair R. W. Kerr, Keith James, Daniel J. Turner, Colin Smith, David James Harrison, Robert Andrews, Adrian Peter Bird
10.1109/vlhcc.2010.27	2010	Programming-by-Example Meets the Semantic Web: Using Ontologies and Web Services to Close the Semantic Gap		Paul M. K. Gordon, Ken E. Barker, Christoph Wilhelm Sensen
10.1101/gr.102491.109	2010	Regulatory divergence in Drosophila revealed by mRNA-seq	Genome Research	C. Joel McManus, Joseph D. Coolon, Michael O. Duff, Jodi E. Eipper-Mains, Brenton R. Graveley, Patricia Jean Wittkopp
10.70675/a22c9b18z096dz4f46z86ecz8097f4be0ef1	2010	Rôle et contexte transcriptionnel du facteur de transcription Ets1 au cours transition CD4- CD8- à CD4+ CD8+ de la tymopoïèse αβ		Pierre Cauchy
10.1186/1471-2105-11-377	2010	SEQADAPT: an adaptable system for the tracking, storage and analysis of high throughput sequencing experiments	BMC Bioinformatics	David Burdick, Christopher Cavnor, Jeremy Handcock, Sarah Killcoyne, Jake Lin, Bruz Marzolf, Stephen A. Ramsey, Hector Rovira, Ryan Bressler, Ilya Shmulevich, John Boyle
10.1007/978-3-642-16558-0_26	2010	Semantically-Guided Workflow Construction in Taverna: The SADI and BioMoby Plug-Ins	Lecture notes in computer science	David Withers, Edward Kawas, Luke McCarthy, Benjamin P. Vandervalk, Mark D. Wilkinson
10.1007/978-3-642-17819-1_27	2010	StarFlow: A Script-Centric Data Analysis Environment	Lecture notes in computer science	Elaine Angelino, Daniel L. K. Yamins, Margo Seltzer
10.1186/gb-2010-11-5-207	2010	The case for cloud computing in genome informatics	Genome biology	Lincoln Stein
10.1038/nbt.1720	2010	Toolkit for evaluating genes required for proliferation and survival using tetracycline-regulated RNAi	Nature Biotechnology	Johannes A. Zuber, Katherine McJunkin, Christof Fellmann, Lukas E. Dow, Meredith J. Taylor, Gregory James Hannon, Scott W. Lowe
10.1038/cdd.2010.159	2010	ΔNp63 is an ectodermal gatekeeper of epidermal morphogenesis	Cell Death and Differentiation	Ruby Shalom‐Feuerstein, Anna Maria Lena, Huiqing Zhou, Stéphanie de la Forest Divonne, Hans van Bokhoven, Eleonora Candi, Gerry Melino, Daniel Aberdam
10.1186/gb-2011-12-3-r27	2011	A genome-wide view of mutation rate co-variation using multivariate analyses	Genome biology	Guruprasad Ananda, Francesca Chiaromonte, Kateryna D. Makova
10.1186/1741-7007-9-19	2011	A next-generation sequencing method for overcoming the multiple gene copy problem in polyploid phylogenetics, applied to Poa grasses	BMC Biology	Philippa C. Griffin, Charles Robin, Ary A. Hoffmann
10.1002/cpe.1836	2011	A reference model for deploying applications in virtualized environments	Concurrency and Computation Practice and Experience	Enis Afgan, Dannon Baker, The Galaxy Team, ANTON Y NEKRUTENKO, James Taylor
10.1038/emboj.2011.212	2011	Activation of Src and transformation by an RPTPα splice mutant found in human tumours	The EMBO Journal	Jian Jun Huang, Ling Yao, Rongting Xu, Huacheng Wu, Min Wang, Brian S. White, David I. Shalloway, Xinmin Zheng
