citing_doi	year	title	venue	authors
10.14201/gredos.132790	2016	Analysis of autophagy in lung cancer		Ruslan Al‐Ali
10.25148/etd.fidc001216	2016	Biogeographical Patterns of Soil Microbial Communities: Ecological, Structural, and Functional Diversity and their Application to Soil Provenance		Natalie Damaso
10.20868/upm.thesis.44220	2016	FAIR approaches applied to unraveling Plant-Pathogen Interactions Data and RNA Processing Evolution		Alejandro Rodriguez Iglesias
10.1371/journal.ppat.1006225	2017	A high-throughput genetic screen identifies previously uncharacterized Borrelia burgdorferi genes important for resistance against reactive oxygen and nitrogen species	PLoS Pathogens	Meghan E. Ramsey, Jenny A. Hyde, Diana N. Medina-Perez, Tao Lin, Lihui Gao, Maureen E. Lundt, Xin Li, Steven J. Norris, Jon T. Skare, Linden T. Hu
10.3324/haematol.2017.171454	2017	Antigen receptor sequencing of paired bone marrow samples shows homogeneous distribution of acute lymphoblastic leukemia subclones	Haematologica	Prisca M. J. Theunissen, David van Zessen, Andrew Stubbs, Malek Faham, Christian Michel Zwaan, Jacques J. M. van Dongen, Vincent H. J. van der Velden
10.53846/goediss-6244	2017	Development of algorithms and next-generation sequencing data workflows for the analysis of gene regulatory networks		Orr Shomroni
10.32469/10355/62312	2017	Discovering disease causing variants in dogs through whole genome sequencing		Ana Kolicheski
10.1371/journal.pone.0181690	2017	Effects of oral florfenicol and azithromycin on gut microbiota and adipogenesis in mice	PLoS ONE	Rui Li, Hexing Wang, Qingfeng Shi, Na Wang, Zhijie Zhang, Chenglong Xiong, Jian‐Xiang Liu, Yue Chen, Lufang Jiang, Qingwu Jiang
10.3410/f.732114936.793539391	2017	Faculty Opinions recommendation of The multiple antibiotic resistance operon of enteric bacteria controls DNA repair and outer membrane integrity.	Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature	Michael G. Kurilla, Ann E. Eakin
10.3791/56442	2017	High-throughput Parallel Sequencing to Measure Fitness of Leptospira interrogans Transposon Insertion Mutants During Golden Syrian Hamster Infection	Journal of Visualized Experiments	Kristel Lourdault, James Matsunaga, Karen V. Evangelista, David A. Haake
10.24251/hicss.2017.754	2017	Maintaining a Science Gateway - Lessons Learned from MoSGrid	Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences	Lukas Zimmermann, Richard Grunzke, Jens Krüger
10.48550/arxiv.1707.03659	2017	OMICtools: a community-driven search engine for biological data analysis	arXiv (Cornell University)	H Lawrence Perrin, Marion Denorme, Julien Grosjean, Omictools Community, Emeric Dynomant, Vincent Henry, Fabien Pichon, Stéfan Jacques Darmoni, Arnaud Desfeux, Bruno José Gonzalez
10.2147/opth.s147684	2017	Prescreening whole exome sequencing results from patients with retinal degeneration for variants in genes associated with retinal degeneration	Clinical ophthalmology	Laura Bryant, Olga Lozynska, Albert M. Maguire, Tomás S. Alemán, Jean Bennett
10.58837/chula.the.2017.1205	2017	รปแบบลำดบสารพนธกรรมของ exon บนยน SCN5A ในกลมการเสยชวตชนดใหลตายในประชากรไทย		รัชติพรรณ ปิติวรารมย์
10.1101/357384	2018	Bulked-Segregant Analysis Coupled to Whole Genome Sequencing (BSA-Seq) for Rapid Gene Cloning in Maize	bioRxiv (Cold Spring Harbor Laboratory)	Harry Klein, Yuguo Xiao, Phillip A. Conklin, Rajanikanth Govindarajulu, Jacob A Kelly, Mike Scanlon, Clinton Whipple, Madelaine Bartlett
10.18174/444432	2018	Cross-feeding interactions of gut symbionts driven by human milk oligosaccharidesand mucins		Loo Wee Chia
10.25148/etd.fidc007034	2018	Decipher Mechanisms by which Nuclear Respiratory Factor One (NRF1) Coordinates Changes in the Transcriptional and Chromatin Landscape Affecting Development and Progression of Invasive Breast Cancer		Jairo D. Ramos
10.1128/mra.01057-18	2018	Draft Genome Sequences of Two Carbapenemase-Producing Klebsiella pneumoniae Strains Isolated from Blood Cultures	Microbiology Resource Announcements	Rémi Le Guern, Teddy Grandjean, Karine Faure, Marvin Bauduin, Éric Kipnis, Rodrigue Dessein
10.1575/1912/10215	2018	Evolutionary conservation and characterization of the metazoan amino acid response		Maja Edenius
10.3410/f.734083634.793554037	2018	Faculty Opinions recommendation of Compressive force induces reversible chromatin condensation and cell geometry dependent transcriptional response.	Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature	Martin Alexander Schwartz
10.3410/f.733677800.793553928	2018	Faculty Opinions recommendation of Escherichia coli translation strategies differ across carbon, nitrogen and phosphorus limitation conditions.	Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature	Ray A. Dixon
10.3410/f.733562817.793549184	2018	Faculty Opinions recommendation of Four key steps control glycolytic flux in mammalian cells.	Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature	Shinya Kuroda, Satoshi Ohno
10.1101/499558	2018	G-OnRamp: A Galaxy-based platform for creating genome browsers for collaborative genome annotation	bioRxiv (Cold Spring Harbor Laboratory)	Yating Liu, Luke Sargent, Wilson Leung, Sarah C. R. Elgin, Jeremy Goecks
10.58837/chula.the.2018.10	2018	Identification and functional characterization of genes and microRNAs from Penaeus vannamei in response to pathogens and heat stress		Pakpoom Boonchuen
10.33915/etd.6142	2018	Involvement of Two Novel GRF-Type Zinc Finger Nodulins during Rhizobial Symbiotic Establishment in Medicago truncatula Nodules		Lucas Gontijo Silva Maia
10.18174/463307	2018	Next generation DNA sequencing based strategies; towards a new era for the traceability of endangered species and genetically modified organisms		Alfred J. Arulandhu
10.31390/gradschool_dissertations.4523	2018	R1 Retrotransposons in Drosophila melanogaster are Transcribed by RNA Polymerase I Upon Heat Shock		Himanshu S. Raje
10.11606/t.11.2018.tde-14082018-094015	2018	Sugarcane thi1 homologues: a molecular and functional study		Andréia Prata Vieira
10.1101/492074	2018	VAPPER: High-throughput Variant Antigen Profiling in African trypanosomes	bioRxiv (Cold Spring Harbor Laboratory)	Sara Silva Pereira, John T. Heap, Andrew R. Jones, Andrew P. Jackson
10.36877/pddbs.a0000035	2019	An automated workflow by using KNIME Analytical Platform: a case study for modelling and predicting HIV-1 protease inhibitors	Progress in Drug Discovery & Biomedical Science	Ramtin Ranji, Chanat Thanavanich, Sri Devi Sukumaran, Sila Kittiwachana, Sharifuddin M. Zain, Chee Sun Liew, Vannajan Sanghiran Lee
10.47749/t/unicamp.2019.1162221	2019	Analyses of the immunopathological and molecular mechanisms involved in cytoadherence of Plasmodium vivax		Catarina Bourgard
10.21203/rs.2.19708/v1	2019	BioTracs: A transversal framework for computational workflow standardization and traceability		Josephine Abi‐Ghanem, Djomangan Adama Ouattara
10.21203/rs.2.11228/v1	2019	Comparative functional genomics analysis of cytochrome P450 gene superfamily in wheat and maize	Research Square	Kaifa Wei, YiXuan Li
10.1016/j.actatropica.2019.105101	2019	Development of a next generation DNA sequencing-based multi detection assay for detecting and identifying Leishmania parasites, blood sources, plant meals and intestinal microbiome in phlebotomine sand flies	Acta Tropica	Ibrahim Abbasi, Abedelmajeed Nasereddin, Alon Warburg
10.18174/499304	2019	Ecological and biotechnological aspects of Aplysina-associated microorganisms		Johanna Gutleben
10.31235/osf.io/vncwe	2019	Enhancing and accelerating social science via automation: Challenges and opportunities		Tal Yarkoni, Dean Eckles, James A. J. Heathers, Margaret C. Levenstein, Paul E. Smaldino, Julia Ingrid Lane
10.21203/rs.2.12907/v2	2019	Evaluation of small ncRNAs as a possible epigenetic mechanism mediating the transition from biotrophy to necrotrophy in the life cycle of Phytophthora infestans	Research Square	Juliana González‐Tobón, Alejandra Rodríguez-Jaramillo, Laura Milena Forero, Laura Natalia González-García, Giovanna Danies, Silvia Restrepo
10.21203/rs.2.12907/v1	2019	Evaluation of small ncRNAs as a possible epigenetic mechanism mediating the transition from biotrophy to necrotrophy in the life cycle of Phytophthora infestans	Research Square	Juliana González‐Tobón, Alejandra Rodríguez-Jaramillo, Laura Milena Forero, Laura Natalia González-García, Giovanna Danies, Silvia Restrepo
10.3791/58447	2019	Exploring the Effects of Spaceflight on Mouse Physiology using the Open Access NASA GeneLab Platform	Journal of Visualized Experiments	Afshin Beheshti, Yasaman Shirazi‐Fard, Sungshin Y. Choi, Daniel C. Berrios, Samrawit Gebre, Jonathan Matthew Galazka, Sylvain V. Costes
10.3791/58447-v	2019	Exploring the Effects of Spaceflight on Mouse Physiology using the Open Access NASA GeneLab Platform	Journal of Visualized Experiments	Afshin Beheshti, Yasaman Shirazi‐Fard, Sungshin Y. Choi, Daniel C. Berrios, Samrawit Gebre, Jonathan Matthew Galazka, Sylvain V. Costes
