citing_doi	year	title	venue	authors
10.3390/nu18142353	2026	A Comparison Between Normal and Reddened Mung Bean Soup: Beneficial Effects on the Regulation of Oxidative Stress, Inflammation, and Gut Microbiota in Mice with Heat Stress-Induced Damages	Nutrients	Hao Ran, M Zhang, Jiakai Wang, Zhitao Niu, S H E N G H Zhou, Dianzhi Hou
10.64898/2026.08.05.26359034	2026	A software package for simple and rigorous survival machine learning analysis in biomedical research	medRxiv	Alyssa F. Pybus, Junhao Qiu, Paulo Cilas Morais Lyra Junior, Khai Dang, Isis Narváez-Bandera, Tosin Jolaogun, Jeremy Goecks
10.20935/acadmolbiogen8505	2026	An exceptionally large and repetitive genome in the cave-dwelling shrimp Troglocaris planinensis	Academia molecular biology and genomics.	Sara Radonic, Dona Kireta, Fabrizia Gionechetti, Chiara Manfrin, Alberto Pallavicini, Marco Gerdol
10.3897/rio.12.e214291	2026	Biodiversity Genomics Europe plus (BGE+) Project – Abridged Grant Proposal	Research Ideas and Outcomes	Dimitris Koureas, Eva Alonso, Pedro Beja, Astrid Böhne, Sarah Bourlat, Elena Buzan, Torbjørn Ekrem, Katharina Heil, José Melo‐Ferreira, Joana Paupério, Ben Price, Wouter Addink, Tyler Alioto, FILIPPOS ARAVANOPOULOS, Ian Barnes, Mónica Bayés, Eli Chadwick, Physilia Chua, Matthew Clark, Diego N. De Pa
10.2139/ssrn.7498249	2026	DelMoro Pipeline for the Analysis of Clinical Genomics Data in Resource-Limited Settings	SSRN Electronic Journal	Firas Zemzem, Houcemeddine Othman, Dorra H&apos;mida
10.64898/2026.07.31.741430	2026	FAIRyMAGs - a series of FAIR Galaxy workflows for the generation of metagenome assembled genomes	bioRxiv (Cold Spring Harbor Laboratory)	Paul F. Zierep, Mina Ansari, Patrick Bühler, Santino Faack, Bruno Fosso, Giuseppe Defazio, Martín Beracochea, Santiago Sanchez, Hottmann Alexandra, Bérénice Batut
10.1139/gen-2026-0016	2026	Genome-wide analysis of lipoxygenase genes in Coffea arabica and its diploid progenitors	Genome	Paula Oliveira Camargo, Ilara Budzinski, Matheus Tagliaferro, Gian Barros, Salete Gaziola, Ricardo Azevedo, Douglas Domingues
10.1016/j.virol.2026.111052	2026	Getah virus, a re-emerging arbovirus: epidemiology, pathogenesis, diagnostics and biosecurity	Virology	Ka Y. Yuen
10.1016/j.syapm.2026.126760	2026	Halolitoreus marinus gen. nov., sp. nov. and Halolitoreus rarus sp. nov., halophilic archaea isolated from diverse coastal tidal flats, and proposal of the novel family Halolitoreaceae fam. nov. in the order Halobacteriales within the class Halobacteria	Systematic and Applied Microbiology	Jing Hou, Guo-Liang Xu, Shun Tan, Ya‐Ling Mao, Yu-Jie Xin, Mu Cheng, Heng-Lin Cui
10.21203/rs.3.rs-10978654/v1	2026	Metagenomic Recovery and Structural Characterization of Novel Electroactive Bacterial Lineages from an Intertidal Cable-Bacteria Enrichment Biofilm	Research Square	Ahura Ibrahimi
10.1007/s00239-026-10350-3	2026	Mitogenomic Insights into the Tinfoil Barb Barbonymus schwanefeldii from Sumatra, Indonesia: Structural Features, Selective Pressure, Genetic Diversity, and Phylogenetic Placement	Journal of Molecular Evolution	Angkasa Putra, Sarifah Aini, Muhammad Misi Muslimin, Hye‐Eun Kang, Ahran Kim, Soo Rin Lee, Gde Raka Angga Kartika, Sang V. Vu, Hyun‐Woo Kim, Shantanu Kundu
10.64898/2026.08.06.743042	2026	Nrl expression and promoter activity in developing cone photoreceptors	bioRxiv (Cold Spring Harbor Laboratory)	Brandon P Webley, Angelina V Grebe, Brandon Mohammed, Jhon Lopez, Afif Zaman, Miruna Georgiana Ghinia Tegla, Mark M. Emerson
10.1016/j.ympev.2026.108740	2026	Nuclear single-copy orthologous genes as phylogenomic markers for resolving the closely related firefly genera Pteroptyx, Medeopteryx, and Trisinuata (Coleoptera: Lampyridae: Luciolinae)	Molecular Phylogenetics and Evolution	Kamonchat Prommarit, Ajaraporn Sriboonlert, Passorn Wonnapinij
10.64898/2026.08.04.742789	2026	Scop3P-Toolkit: executable structure-aware workflows linking PTMs, peptides, and mutations to protein function	bioRxiv (Cold Spring Harbor Laboratory)	Adrián Díaz, Natalia Tichshenko, Boris Guy J. Depoortere, Rafael Andrade Buono, Paul De Geest, Wim Vranken, Lennart Martens, Pathmanaban Ramasamy
10.1038/s41598-026-67762-w	2026	T-rex: standardized analysis of germline variants in whole-exome sequencing trios	Scientific Reports	Sara-Luisa Reh, Carolin Walter, Judith Lohse, Tabita Ghete, Markus Metzler, Julia Hauer, Franziska Auer
