citing_doi	year	title	venue	authors
	2008	Atrofia maxilar vestíbulo-palatal. Injerto de mentón y colgajos de tejido conectivo.	Maxillaris: Actualidad profesional e industrial del sector dental	J. Baladrón
10.1787/20777876	2010	OECD Series on Testing and Assessment	OECD series on testing and assessment	OECD
	2014	Una aplicación de RExcel para el cálculo de provisiones técnicas con modelo lineal generalizado		Juan Espejo Fernández, Eva Boj del Val, Teresa Costa Cor
10.1016/b978-0-08-100596-5.00001-9	2015	OBSOLETE: NexGen Sequencing Data: Bioinformatic Tools for Visualization and Analysis	Elsevier eBooks	Eric Altermann
10.1101/394205	2018	A map of direct TF-DNA interactions in the human genome	bioRxiv (Cold Spring Harbor Laboratory)	Marius Gheorghe, Geir Kjetil Sandve, Aziz Khan, Jeanne Chèneby, Benoît Ballester, Anthony Mathelier
10.1093/nar/gky1210	2018	A map of direct TF–DNA interactions in the human genome	Nucleic Acids Research	Marius Gheorghe, Geir Kjetil Sandve, Aziz Khan, Jeanne Chèneby, Benoît Ballester, Anthony Mathelier
10.1371/journal.pone.0208766	2018	A transcriptomics analysis of the Tbx5 paralogues in zebrafish	PLoS ONE	Erin A. T. Boyle Anderson, Robert K. Ho
10.1101/456756	2018	Accumulating computational resource usage of genomic data analysis workflow to optimize cloud computing instance selection	bioRxiv (Cold Spring Harbor Laboratory)	Tazro Ohta, Tomoya Tanjo, Osamu Ogasawara
10.1101/352476	2018	BioJupies: Automated Generation of Interactive Notebooks for RNA-seq Data Analysis in the Cloud	bioRxiv (Cold Spring Harbor Laboratory)	Denis Torre, Alexander Lachmann, Avi Ma’ayan
10.1093/molbev/msy084	2018	Biology Needs Evolutionary Software Tools: Let’s Build Them Right	Molecular Biology and Evolution	ANTON Y NEKRUTENKO, Galaxy Zoo Team, Jeremy Goecks, James Taylor, Daniel Blankenberg
