citing_doi	year	title	venue	authors
10.1016/b978-1-4557-5414-4.00041-3	2000	10.1016/b978-1-4557-5414-4.00041-3	Time to knit	
10.1385/1-59745-097-9:91	2006	Computational Prediction of cis-Regulatory Modules from Multispecies Alignments Using Galaxy, Table Browser, and GALA	Humana Press eBooks	Laura L. Elnitski, David C. B. King, Ross Cameron Hardison
10.1101/gr.5353806	2006	Experimental validation of predicted mammalian erythroid cis-regulatory modules	Genome Research	Hao Wang, Ying Zhang, Yong Cheng, Yuepin Zhou, David C. B. King, James Taylor, Francesca Chiaromonte, Jyotsna Kasturi, Hanna M. Petrykowska, Brian Gibb, Christine M. Dorman, Webb Miller, Louis C. Doré, John J. Welch, Mitchell J. Weiss, Ross Cameron Hardison
10.1093/nar/gkl236	2006	FASTSNP: an always up-to-date and extendable service for SNP function analysis and prioritization	Nucleic Acids Research	Hsiang‐Yu Yuan, Jen-Jie Chiou, Wen-Hsien Tseng, Chia-Hung Liu, Chuan-Kun Liu, Yi-Jung Lin, Hui-Hung Wang, Adam Yao, Yuan‐Tsong Chen, Chun‐Nan Hsu
10.1101/gr.4140006	2006	Locating mammalian transcription factor binding sites: A survey of computational and experimental techniques	Genome Research	Laura L. Elnitski, Victor X. Jin, Peggy Farnham, Steven J.M. Jones
10.1101/gr.6761107	2007	28-Way vertebrate alignment and conservation track in the UCSC Genome Browser	Genome Research	Webb Miller, Kate R. Rosenbloom, Ross Cameron Hardison, Minmei Hou, James Taylor, Brian J. Raney, Richard C. Burhans, David C. B. King, Robert Baertsch, Daniel Blankenberg, Sergei L. Kosakovsky Pond, ANTON Y NEKRUTENKO, Belinda M. Giardine, Robert S. Harris, Svitlana Tyekucheva, Mark E. Diekhans, Th
10.1101/gr.5578007	2007	A framework for collaborative analysis of ENCODE data: Making large-scale analyses biologist-friendly	Genome Research	Daniel Blankenberg, James Taylor, Ian Schenck, Jianbin He, Yi Zhang, Matthew Ghent, Narayanan Veeraraghavan, Istvan U. Albert, Webb Miller, Kateryna D. Makova, Ross Cameron Hardison, ANTON Y NEKRUTENKO
10.1371/journal.pcbi.0030001	2007	Automated Querying of Genome Databases	PLoS Computational Biology	Peter L Schattner
10.1146/annurev.genom.8.080706.092300	2007	Computation and Analysis of Genomic Multi-Sequence Alignments	Annual Review of Genomics and Human Genetics	Mathieu Blanchette
	2007	Dottorato di Ricerca in Sistemi Complessi Applicati alla Biologia Post-Genomica		Michele Caselle, Federico Bussolino, C. Romualdi, Carl Herrmann
10.1186/gb-2007-8-6-r108	2007	Functional coordination of alternative splicing in the mammalian central nervous system	Genome biology	Matthew M. Fagnani, Yoseph Barash, Joanna Y. Ip, Christine Misquitta, Qun Pan, Arneet L. Saltzman, Ofer Shai, Leo Lee, Aviad Rozenhek, Naveed Mohammad, Sandrine Willaime‐Morawek, Tomas Babak, Wen Jie Zhang, Timothy R. Hughes, Derek van der Kooy, Brendan J. Frey, Benjamin J. Blencowe
10.1101/gr.5716607	2007	Integrated analysis of experimental data sets reveals many novel promoters in 1% of the human genome	Genome Research	Nathan D. Trinklein, Ulaş Karaöz, Jiaqian Wu, Anason S. Halees, Shelley Force Aldred, Patrick J. Collins, Deyou Zheng, Zhengdong D. Zhang, Mark Gerstein, Michael Snyder, R Myers, Zhiping Weng
10.1109/e-science.2007.72	2007	The Data Playground: An Intuitive Workflow Specification Environment		Andrew A. P. Gibson, Matthew Gamble, Katherine Wolstencroft, Tom Oinn, Carole Goble
10.1101/gr.5582207	2007	The ENCODEdb portal: Simplified access to ENCODE Consortium data	Genome Research	Laura L. Elnitski, Prachi Shah, R. Travis Moreland, Lowell A. Umayam, Tyra G. Wolfsberg, Andreas D. Baxevanis
10.1093/nar/gkm949	2007	TranspoGene and microTranspoGene: transposed elements influence on the transcriptome of seven vertebrates and invertebrates	Nucleic Acids Research	Asaf Levy, Noa Sela, Gil Ast
10.1002/0471250953.bi1005s19	2007	Using Galaxy to Perform Large‐Scale Interactive Data Analyses	Current Protocols in Bioinformatics	James Taylor, Ian Schenck, Daniel Blankenberg, ANTON Y NEKRUTENKO
10.1186/1471-2105-8-46	2007	WeederH: an algorithm for finding conserved regulatory motifs and regions in homologous sequences	BMC Bioinformatics	Giulio Pavesi, Federico Zambelli, Graziano Pesole
10.1261/rna.997708	2008	A computational screen for mouse signaling pathways targeted by microRNA clusters	RNA	Jianzhen Xu, Chi‐Wai Wong
10.1101/gr.077008.108	2008	A novel mode of enhancer evolution: The Tal1 stem cell enhancer recruited a MIR element to specifically boost its activity	Genome Research	Aileen M. Smith, María José Sánchez, George Follows, Sarah Kinston, Ian J. Donaldson, Anthony Richard Green, Berthold Göttgens
10.1371/journal.pcbi.1000121	2008	Advanced Genomic Data Mining	PLoS Computational Biology	Xosé M. Fernández, Ewan Birney
10.1038/nbt.1505	2008	An integrated software system for analyzing ChIP-chip and ChIP-seq data	Nature Biotechnology	Hongkai Ji, Hui Jiang, Wenxiu Ma, David S. Johnson, R Myers, Wing Hung Wong
10.1165/rcmb.2008-0340oc	2008	Analysis of Exonic Elastin Variants in Severe, Early-Onset Chronic Obstructive Pulmonary Disease	American Journal of Respiratory Cell and Molecular Biology	Michael H. Cho, Dawn Ciulla, Barbara J. Klanderman, Craig P. Hersh, Augusto A. Litonjua, David Sparrow, Benjamin A. Raby, Edwin K. Silverman
10.1038/nrg2185	2008	Approaches to comparative sequence analysis: towards a functional view of vertebrate genomes	Nature Reviews Genetics	Elliott H. Margulies, Ewan Birney
10.1093/bioinformatics/btn604	2008	CleaveLand: a pipeline for using degradome data to find cleaved small RNA targets	Bioinformatics	Charles Addo‐Quaye, Webb Miller, Michael J. Axtell
10.1016/j.compbiolchem.2008.07.024	2008	Computational identification of novel microRNA homologs in the chimpanzee genome	Computational Biology and Chemistry	Vesselin Baev, Evelina Daskalova, Ivan Nikiforov Minkov
10.26021/8100	2008	Conservation and Evolution of Microsatellites in Vertebrate Genomes	UC Research Repository  (University of Canterbury)	Emmanuel Buschiazzo
