year	10.1101/gr.4086505	10.1002/0471250953.bi1005s19	10.1186/gb-2010-11-8-r86	10.1002/0471142727.mb1910s89	10.1093/nar/gkw343	10.1093/nar/gky379	10.1093/nar/gkac247	10.1093/nar/gkae410	10.1093/nar/gkag469
1978	0	0	1	0	0	0	0	0	0
1983	0	0	0	0	1	0	0	0	0
2000	1	0	0	0	0	0	0	0	0
2002	0	0	0	0	2	0	0	0	0
2005	0	0	0	0	1	0	0	0	0
2006	4	0	1	0	0	0	0	0	0
2007	12	0	1	1	0	0	0	0	0
2008	34	2	0	0	1	1	0	0	0
2009	40	3	0	0	0	0	0	0	0
2010	64	27	13	9	0	1	0	0	0
2011	46	28	142	58	1	0	0	0	0
2012	122	10	268	131	0	0	0	0	0
2013	189	11	349	166	0	0	0	0	0
2014	225	10	435	193	0	1	0	0	0
2015	245	6	454	185	0	1	0	0	0
2016	267	17	458	214	63	0	3	0	0
2017	171	9	309	142	297	0	11	0	0
2018	151	6	236	83	394	58	15	0	0
2019	104	6	214	58	305	369	33	0	0
2020	93	2	136	47	292	578	49	0	0
2021	86	2	150	48	293	674	50	0	0
2022	56	1	121	35	196	698	59	0	0
2023	56	2	87	30	176	559	299	0	0
2024	42	4	59	27	144	392	479	88	0
2025	40	0	75	26	107	319	272	452	0
2026	37	0	39	15	40	187	101	425	15
