topic_id,created_date,title,posts_count,reply_count,last_post_date
18225,2026-07-31,Interactive tools not working,2,0,2026-07-31
18221,2026-07-30,MrBayes consensus tree file not shown in output,3,1,2026-07-30
16275,2025-09-18,MrBayes - no output files found,5,2,2026-07-30
18086,2026-06-19,Bioconductor packages failing to install in Galaxy Europe Interactive R (cannot access repository index),2,0,2026-07-28
18114,2026-06-27,Is image correlation in GALAXY possible while preserving aspect ratio (no distortion only rotation/scaling)?,2,0,2026-07-28
18064,2026-06-16,How to separate genomic from subgenomic RNA reads of Coronavirus?,7,2,2026-07-27
18190,2026-07-20,Invocation ID in RO-Crate,1,0,2026-07-20
18175,2026-07-16,Galaxy server/UI pagination bug,6,4,2026-07-20
18168,2026-07-14,Frozen Export History to File Source,2,0,2026-07-15
18160,2026-07-10,TGS-GapCloser Node mount error,3,0,2026-07-13
18057,2026-06-15,Current implementation of GTDB-Tk Classify genomes is broken (wrong default arguments),2,0,2026-07-12
18147,2026-07-06,"Uploading issues ( fasta, faa, gbff files)",2,0,2026-07-07
18126,2026-06-29,Msconvert job failing on usegalaxy.org with Wine/disk quota errors,4,0,2026-07-06
18128,2026-06-30,How to set the reference level in DESeq2 for treatment vs control comparison?,2,0,2026-07-06
18141,2026-07-03,Bowtie2 Galaxy Version 2.5.3+galaxy1: Data set colection,2,0,2026-07-03
18136,2026-07-02,Input tabular data into a Galaxy tool - Preserving row order,3,0,2026-07-02
18083,2026-06-19,Kaiju2table unable to open files from a Kaiju output dataset collection,3,0,2026-06-29
18011,2026-06-03,Panaroo: GFF files in a Collection? Toggle option to retain file extensions in element sample identifiers,13,9,2026-06-29
18029,2026-06-09,Slow downloading,17,3,2026-06-24
18076,2026-06-17,Recognizing paired collection for deep arg in galaxy europe server,2,0,2026-06-24
18046,2026-06-12,TargetFinder score cutoff seems ignored; tool always behaves as cutoff 4,4,2,2026-06-23
17281,2026-01-12,HUMAnN Workflow Error,4,1,2026-06-22
17748,2026-05-22,Kaiju database request,14,6,2026-06-18
18068,2026-06-17,MultiQC tool down?,3,1,2026-06-18
18067,2026-06-16,Trim Galore! is down too?,3,1,2026-06-18
18063,2026-06-16,Slow web server Galaxy France,4,0,2026-06-18
14533,2025-01-23,Adding nt_core db to Bracken and related workflow tools,9,5,2026-06-17
17716,2026-05-09,Formatting annotated genomes for submission to NCBI,7,2,2026-06-16
18058,2026-06-15,Alternatives for fastANI,1,0,2026-06-15
18050,2026-06-12,Stop codon detection in InterProScan inputs,2,0,2026-06-12
18025,2026-06-09,Scratch storage source 2TB,9,6,2026-06-11
18023,2026-06-08,Sortmerna produces incorrect unaligned files when using collections,3,1,2026-06-10
18008,2026-06-03,Genbank conversion to five column format on the EU server error,2,0,2026-06-03
17702,2026-05-04,How to link output ID's to original file names,6,4,2026-06-03
17758,2026-05-27,How to use various nanopore fastq files?,2,0,2026-05-27
17757,2026-05-27,Another issue with Genome Annotation Statistics,2,0,2026-05-27
17733,2026-05-18,instaGRAAL on usegalaxy.eu finishes as “ok” but all outputs are 0 bytes,6,2,2026-05-26
17745,2026-05-21,Panaroo - error - file not found,4,2,2026-05-23
17744,2026-05-21,ChatGXY returns malformed workflow files,2,0,2026-05-23
17747,2026-05-22,Galaxy Europe service outage,3,1,2026-05-22
17740,2026-05-20,Preliminary authentication of ancient Yersinia pestis-like signal,5,1,2026-05-22
17593,2026-03-19,Problem with Mummer,3,1,2026-05-18
17726,2026-05-13,Java error running interproscan,5,1,2026-05-15
17721,2026-05-11,Fragmented plastome sequence,2,0,2026-05-14
17711,2026-05-07,Wrapper for datasets_download_genome --force,6,4,2026-05-14
17725,2026-05-13,Active Storage Not Clearing,4,2,2026-05-14
17724,2026-05-12,"Galaxy Europe downtime: ongoing maintenance work Tue, May 12",1,0,2026-05-12
17714,2026-05-08,Job not starting? NCBI FCS GX queue timing explained,5,1,2026-05-09
17710,2026-05-07,GeneMark in Funnanotate Predict,2,0,2026-05-07
17709,2026-05-06,Storage Space Upgrade,3,1,2026-05-07
17705,2026-05-05,Issue with Maker,2,0,2026-05-06
17706,2026-05-05,DADA2 tool issues in Galaxy France,2,0,2026-05-06
17689,2026-04-28,DESeq2 factors and factor level Input,5,3,2026-05-05
17666,2026-04-21,How to capture a share link to a Workflow Invocation,5,5,2026-05-02
17631,2026-04-03,Issue with edgeR results for endometrial dataset,4,1,2026-04-30
16280,2025-09-19,Issue with extracting datasets from unzipped files containing .gitkeep files,7,2,2026-04-30
17685,2026-04-25,Panaroo error with GFF3 input TIP: include .gff in the file names and collection identifiers,2,1,2026-04-26
12171,2024-04-11,quality string - read length problems in Cutadapt output,3,0,2026-04-24
17683,2026-04-24,MaxQuant probelm,2,0,2026-04-24
17667,2026-04-21,Installing a new tool,7,0,2026-04-23
17660,2026-04-20,IQ-TREE configuration: consensus tree creation with 5 newick tree files,11,5,2026-04-22
17659,2026-04-19,Jobs Stuck processing with a workflow: Using the job cache to rerun workflows with canceled outputs,4,1,2026-04-21
17655,2026-04-16,Problem with falco tool,3,0,2026-04-20
17647,2026-04-10,Very few assigned reads with featureCounts,2,0,2026-04-10
17644,2026-04-09,NextDenovo Tool Update,5,1,2026-04-10
17638,2026-04-08,chewBBACA DownloadSchema Schema files - organisms are mixed up,5,0,2026-04-09
17640,2026-04-08,How to use Falco on a dataset collection,8,3,2026-04-09
17637,2026-04-08,BBduk BBmap memory problems,2,0,2026-04-08
17639,2026-04-08,Issue : file export with data convert (waters connect),2,0,2026-04-08
17607,2026-03-25,Trinotate error SQLite,4,0,2026-04-08
16353,2025-10-07,Trinotate error? See GTN Transcriptomics tutorials for alternatives!,5,3,2026-04-08
15953,2025-07-11,Trinotate SQLite boilerplate unavailable on usegalaxy.eu?,5,3,2026-04-08
6187,2021-06-11,"Trinotate error resulting in ""The job creating this dataset has been resubmitted""",12,5,2026-04-08
2155,2019-09-21,Problems with roary,4,0,2026-04-08
3009,2020-02-20,How to use Trinotate output?,3,1,2026-04-08
7222,2021-12-22,How to recover deleted data,3,0,2026-04-07
9081,2022-11-23,History and dataset persistence,3,1,2026-04-07
17636,2026-04-07,Usegalaxy EU VERY SLOW,1,0,2026-04-07
17630,2026-04-03,"SPAdes: why and how to use intact Paired End reads, plus production workflows for Bacterial assembly!",2,0,2026-04-06
17626,2026-04-02,cummeRbund tool tutorials guide,2,0,2026-04-06
17625,2026-04-01,Help using PICRUSt2 pipeline?,6,3,2026-04-06
17624,2026-04-01,GoSeq GO analysis importing a gene categories file,2,0,2026-04-01
17589,2026-03-18,Help with FAiled Workflow Invocation,8,4,2026-03-31
17602,2026-03-25,Metagenomic analysis of data,4,2,2026-03-30
