DOI	publication_year	team_member	member_key	assumed_join_year	title
10.1038/s41477-023-01614-7	2024	Deepti Varshney	Deeptivarshney	2024	Near telomere-to-telomere genome of the model plant Physcomitrium patens
10.1101/2025.10.09.681428	2025	Deepti Varshney	Deeptivarshney	2024	The Spirogyra genome: signatures of shared and divergent division and differentiation
10.1093/plcell/koag224	2026	Deepti Varshney	Deeptivarshney	2024	The Spirogyra pratensis genome illuminates the evolution of developmental programs and spiral chloroplast biology
10.64898/2026.08.18.745462	2026	Deepti Varshney	Deeptivarshney	2024	Prediction of plant organismal complexity based on transcription factor annotation: an AI approach
10.7490/F1000RESEARCH.1119795.1	2024	Polina Polunina	PlushZ	2024	Navigating the variant landscape: integrating MAVE data analysis into Galaxy
10.7490/F1000RESEARCH.1120342.1	2025	Daniela Schneider	Sch-Da	2025	Broadening the Galaxy
10.7490/F1000RESEARCH.1119761.1	2024	Arash Kadkhodaei	arash77	2024	Community-driven standards development for reference genome generation
10.7490/F1000RESEARCH.1119786.1	2024	Arash Kadkhodaei	arash77	2024	Galaxy social
10.7490/F1000RESEARCH.1120343.1	2025	Arash Kadkhodaei	arash77	2024	Serving locally hosted LLMs with Galaxy
10.1162/dint_a_00136	2022	Beatriz Serrano-Solano	beatrizserrano	2020	Galaxy: A Decade of Realising CWFR Concepts
10.1371/JOURNAL.PONE.0273698	2022	Beatriz Serrano-Solano	beatrizserrano	2020	The Image Data Explorer: Interactive exploration of image-derived data
10.1038/s41592-024-02295-6	2024	Beatriz Serrano-Solano	beatrizserrano	2020	DL4MicEverywhere: deep learning for microscopy made flexible, shareable and reproducible.
10.1038/s41598-025-00720-0	2025	Beatriz Serrano-Solano	beatrizserrano	2020	High-content screening (HCS) workflows for FAIR image data management with OMERO.
10.21203/rs.3.rs-6214250/v1	2025	Beatriz Serrano-Solano	beatrizserrano	2020	Optimizing Image Data Management: A Workflow-Driven Approach for FAIR and Reusable High-Content Screening pipelines with OMERO
10.37044/osf.io/hbw6m_v1	2025	Beatriz Serrano-Solano	beatrizserrano	2020	Development of FAIR image analysis workflows and training in Galaxy
10.37044/osf.io/tsxby_v1	2026	Beatriz Serrano-Solano	beatrizserrano	2020	Evolving FAIR Image Analysis in Galaxy for Cross-domain and AI-ready Applications
10.64898/2026.07.21.739486	2026	Beatriz Serrano-Solano	beatrizserrano	2020	AI4Life Open Calls and Public Challenges: why, how, and what we have learned
10.1101/2022.01.20.477129	2022	Björn Grüning	bgruening	2013	MaxQuant and MSstats in Galaxy enable reproducible cloud-based analysis of quantitative proteomics experiments for everyone
10.12688/f1000research.122312.1	2022	Björn Grüning	bgruening	2013	Community-driven ELIXIR activities in single-cell omics [version 1; peer review: 2 approved with reservations]
10.52825/cordi.v1i.352	2023	Björn Grüning	bgruening	2013	EOSC-Life Workflow Collaboratory for the Life Sciences
10.52825/cordi.v1i.417	2023	Björn Grüning	bgruening	2013	Conda, Container and Bots
10.1101/2024.12.23.629682	2024	Björn Grüning	bgruening	2013	microGalaxy: A gateway to tools, workflows, and training for reproducible and FAIR analysis of microbial data
10.37044/osf.io/w8dsz	2024	Björn Grüning	bgruening	2013	Enhancing the image analysis community in Galaxy
10.20944/preprints202509.0823.v1	2025	Björn Grüning	bgruening	2013	Ten Common Misconceptions About Galaxy (and Why They Are Wrong!)
10.52825/ocp.v5i.1045	2025	Björn Grüning	bgruening	2013	FAIR Digital Objects for Seamless Research Data Management for Researchers and Higher Education Institutions
10.64898/2026.01.26.701692	2026	Björn Grüning	bgruening	2013	Prioritizing DNA methylation biomarkers using graph neural networks and explainable AI
10.64898/2026.05.12.724571	2026	Björn Grüning	bgruening	2013	Machine learning-based prediction of memory requirements for metagenomic assembly in high-performance computing environments
10.1038/s41556-025-01639-4	2025	Diana Chiang Jurado	dianichj	2025	Modulation of bone marrow haematopoietic stem cell activity as a therapeutic strategy after myocardial infarction: a preclinical study
10.1038/s44303-025-00069-z	2025	Diana Chiang Jurado	dianichj	2025	Interventional real-time molecular MRI for targeting early myocardial injury in a pig model
10.17504/protocols.io.e6nvwbp4zvmk/v1	2024	Engy Nasr	engynasr	2024	Benchmarking PathoGFAIR v1
10.5194/egusphere-2024-2338-supplement	2024	Engy Nasr	engynasr	2024	"Supplementary material to ""Clouds influence the functioning of airborne microorganisms"""
10.1093/BIOINFORMATICS/BTAC460	2022	Cristóbal Gallardo Alba	gallardoalba	2021	Gfastats: conversion, evaluation and manipulation of genome sequences using assembly graphs
10.64898/2026.07.23.26358667	2026	Gianmauro Cuccuru	gmauro	2014	Beyond the classical plasma secretome: genetic architecture and disease associations of the expanded human plasma proteome in 13,445 Europeans
10.1093/gigascience/giad099	2024	Helena Rasche	hexylena	2018	FAIR data retrieval for sensitive clinical research data in Galaxy
10.20944/PREPRINTS202403.1211.V1	2024	Helena Rasche	hexylena	2018	Reproducible Exploration of Disease Maps with Galaxy Workflows and the MINERVA Platform
10.32942/x2g033	2024	Helena Rasche	hexylena	2018	Guidance framework to apply good practices in ecological data analysis: Lessons learned from building Galaxy-Ecology
10.7490/F1000RESEARCH.1119655.1	2023	Alireza Heidari	itisAliRH	2023	Revolutionizing search in Galaxy: New features for improved data and tool discovery
10.7490/F1000RESEARCH.1119741.1	2024	Alireza Heidari	itisAliRH	2023	Instant data gathering across multiple histories
10.7490/F1000RESEARCH.1119742.1	2024	Alireza Heidari	itisAliRH	2023	Migrating from Vuex to Pinia
10.7490/F1000RESEARCH.1119743.1	2024	Alireza Heidari	itisAliRH	2023	Introducing a new notification system in Galaxy
10.37044/osf.io/3x274	2025	Alireza Heidari	itisAliRH	2023	Enhancing multi-omic analyses through a federated microbiome analysis service
10.7490/F1000RESEARCH.1120347.1	2025	Alireza Heidari	itisAliRH	2023	Simple and Secure Credential Handling for Tools in Galaxy
10.1109/TCBB.2020.3034861	2022	Alireza Khanteymoori	khanteymoori	2021	Data-Driven and Knowledge-Based Algorithms for Gene Network Reconstruction on High-Dimensional Data
10.1145/3623402	2023	Alireza Khanteymoori	khanteymoori	2021	A Comprehensive Survey on Model Quantization for Deep Neural Networks in Image Classification
10.1089/neur.2024.0038	2024	Alireza Khanteymoori	khanteymoori	2021	Effect-Size Discrepancies in Literature Versus Raw Datasets from Experimental Spinal Cord Injury Studies: A CLIMBER Meta-Analysis
10.1177/15459683241311337	2025	Alireza Khanteymoori	khanteymoori	2021	Targeting Nerve Fiber Outgrowth Inhibition After Experimental Spinal Cord Injury: A Systematic Review and Meta-analysis of Chondroitinase ABC
10.2174/0115672050434251251008104505	2025	Alireza Khanteymoori	khanteymoori	2021	Spectral Biomarkers of Functional Brain Network Alteration in Alzheimer’s Disease
10.2139/ssrn.6430418	2026	Alireza Khanteymoori	khanteymoori	2021	Evaluation of Machine Learning Models for Predicting Breeding Values of Key Performance Traits in Iranian Crossbred (Thoroughbred × Turkmen) Racehorses
10.7490/f1000research.1119785.1	2024	Mira Kuntz	mira-miracoli	2024	WALL·E: Prevent abuse of interactive research environments ...
10.1016/j.devcel.2023.07.023	2023	Mehmet Tekman	mtekman	2020	Eomes restricts Brachyury functions at the onset of mouse gastrulation
10.1101/2023.03.15.532746	2023	Mehmet Tekman	mtekman	2020	An EOMES induced epigenetic deflection initiates lineage commitment at mammalian gastrulation
10.1101/2024.02.05.578926	2024	Mehmet Tekman	mtekman	2020	TAF2 condensation in nuclear speckles links basal transcription factor TFIID to RNA splicing
10.1101/2025.05.07.652670	2025	Mehmet Tekman	mtekman	2020	Competing regulatory modules control the transition between mammalian gastrulation modes
10.1126/sciadv.adm9441	2024	Paul Zierep	paulzierep	2024	How sensor Amt-like proteins integrate ammonium signals
10.37044/osf.io/qjbxc	2024	Paul Zierep	paulzierep	2024	How to increase the findability, visibility, and impact of Galaxy tools for your scientific community
10.37044/osf.io/s7tru	2024	Paul Zierep	paulzierep	2024	How to improve the annotation of Galaxy resources? Outcomes of an online hackathon for improving the annotation of Galaxy resources for microbial data resources
10.1002/adem.202401448	2025	Paul Zierep	paulzierep	2024	Semantic Orchestration and Exploitation of Material Data: A Dataspace Solution Demonstrated on Steel and Copper Applications
10.1002/adem.202402148	2025	Paul Zierep	paulzierep	2024	Stahl<i>Digital</i>: Ontology‐Based Workflows for the Steel Industry
10.20944/preprints202508.0199.v1	2025	Paul Zierep	paulzierep	2024	Community-Curated Galaxy Interfaces with the Galaxy Labs Engine
10.1093/nar/gkag469	2026	Paul Zierep	paulzierep	2024	Galaxy for accessible, reproducible, and collaborative data analyses: 2026 update
10.64898/2026.07.31.741430	2026	Paul Zierep	paulzierep	2024	FAIRyMAGs - a series of FAIR Galaxy workflows for the generation of metagenome assembled genomes
10.1038/s41467-025-67220-7	2026	Pavankumar Videm	pavanvidem	2017	Chamber-specific chromatin architecture guides functional interpretation of disease-associated Cis-regulatory elements in human cardiomyocytes.
10.1111/jmi.70165	2026	Pavankumar Videm	pavanvidem	2017	Bioimage management and analysis in Galaxy: Tools, workflows, training, and community practices
10.1038/s41564-022-01074-3	2022	Rolf Backofen	rolfbackofen	2020	Spacer prioritization in CRISPR–Cas9 immunity is enabled by the leader RNA
10.1093/bioinformatics/btab755	2022	Rolf Backofen	rolfbackofen	2020	Peakhood: individual site context extraction for CLIP-seq peak regions
10.1093/bioinformatics/btac466	2022	Rolf Backofen	rolfbackofen	2020	CRISPRtracrRNA: robust approach for CRISPR tracrRNA detection
10.1101/2022.08.04.502755	2022	Rolf Backofen	rolfbackofen	2020	Genome wide CRISPR screen for Pasteurella multocida toxin (PMT) binding proteins reveals LDL Receptor Related Protein1 (LRP1) as crucial cellular receptor
10.1101/2022.11.12.516264	2022	Rolf Backofen	rolfbackofen	2020	Small proteome of the nitrogen-fixing plant symbiontSinorhizobium meliloti
10.1126/sciadv.abo5578	2022	Rolf Backofen	rolfbackofen	2020	The long noncoding RNA mimi scaffolds neuronal granules to maintain nervous system maturity
10.1093/bioinformatics/btad665	2023	Rolf Backofen	rolfbackofen	2020	RNA interaction format: a general data format for RNA interactions
10.1093/femsml/uqad001	2023	Rolf Backofen	rolfbackofen	2020	1 Revealing the small proteome of Haloferax volcanii by combining ribosome profiling and small-protein optimised mass spectrometry
10.1093/femsml/uqad012	2023	Rolf Backofen	rolfbackofen	2020	Unraveling the small proteome of the plant symbiont Sinorhizobium meliloti by ribosome profiling and proteogenomics
